,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
147,4258531,21344210,Private room,Busan,Haeundae,11,4.0,2,1.0,1.0,36.0,1.0,35.166123,129.14985,2016-10-28 23:36:58.524412
148,4274229,8180419,Private room,Busan,Busanjin,26,5.0,1,1.0,,27.0,1.0,35.149241,129.058661,2016-10-28 23:57:25.933472
149,4280506,21199584,Entire home/apt,Busan,Dong,158,5.0,5,1.0,1.0,52.0,,35.113225,129.038827,2016-10-28 23:40:38.381474
150,4288922,8180419,Shared room,Busan,Busanjin,67,4.5,2,1.0,,15.0,1.0,35.150549,129.0569,2016-10-29 00:21:38.156414
151,4429983,21660947,Entire home/apt,Busan,Yeonje,98,4.5,2,1.0,1.0,20.0,1.0,35.172924,129.097656,2016-10-29 00:40:45.471426
152,4436328,21660947,Entire home/apt,Busan,Yeonje,94,4.5,4,1.0,1.0,20.0,1.0,35.172852,129.098882,2016-10-28 23:57:46.427360
153,4441034,15290695,Private room,Busan,Gijang,12,5.0,6,1.0,4.0,43.0,1.0,35.197199,129.22438,2016-10-28 22:49:23.141310
154,4441689,23055239,Shared room,Busan,Dong,1,,6,1.0,1.0,23.0,1.0,35.118286,129.040533,2016-10-28 23:31:53.291817
155,4465644,23166779,Shared room,Busan,Suyeong,5,4.0,16,1.0,1.0,19.0,1.0,35.158114,129.121918,2016-10-28 23:38:36.668392
156,4473124,15448315,Private room,Busan,Haeundae,9,4.5,2,1.0,0.0,45.0,1.0,35.160647,129.155839,2016-10-28 22:47:08.337972
157,4473160,15448315,Entire home/apt,Busan,Haeundae,20,4.0,4,4.0,0.0,19.0,1.0,35.160197,129.155825,2016-10-29 00:28:41.921282
158,4473173,15448315,Entire home/apt,Busan,Haeundae,16,4.5,6,6.0,0.0,16.0,1.0,35.159026,129.156857,2016-10-28 22:52:48.922778
159,4473193,15448315,Entire home/apt,Busan,Haeundae,28,4.5,8,8.0,0.0,13.0,1.0,35.159937,129.153243,2016-10-28 22:47:12.564631
